cycle,pangle,af,cmode
164,25.4666667,14.7,1.0,16.0
165,25.5,14.7,1.0,16.0
166,25.5333333,14.7,1.0,16.0
167,25.5666667,14.7,1.0,16.0
168,25.6,14.7,1.0,16.0
169,25.6333333,14.7,1.0,16.0
170,25.6666667,14.7,1.0,16.0
171,25.7,14.7,1.0,16.0
172,25.7333333,14.7,1.0,16.0
173,25.7666667,14.7,1.0,16.0
174,25.8,14.7,1.0,16.0
175,25.8333333,14.7,1.0,16.0
176,25.8666667,14.7,1.0,16.0
177,25.9,14.7,1.0,16.0
178,25.9333333,14.7,1.0,16.0
179,25.9666667,14.7,1.0,16.0
180,26.0,14.7,1.0,16.0
181,26.0333333,14.7,1.0,16.0
182,26.0666667,14.7,1.0,16.0
183,26.1,14.7,1.0,16.0
184,26.1333333,14.7,1.0,16.0
185,26.1666667,14.7,1.0,16.0
186,26.2,14.7,1.0,16.0
187,26.2333333,14.7,1.0,16.0
188,26.2666667,14.7,1.0,16.0
189,26.3,14.7,1.0,16.0
190,26.3333333,14.7,1.0,16.0
191,26.3666667,14.7,1.0,16.0
192,26.4,14.7,1.0,16.0
193,26.4333333,14.7,1.0,16.0
194,26.4666667,14.7,1.0,16.0
195,26.5,14.7,1.0,16.0
196,26.5333333,14.7,1.0,16.0
197,26.5666667,14.7,1.0,16.0
198,26.6,14.7,1.0,16.0
199,26.6333333,14.7,1.0,16.0
200,26.6666667,14.7,1.0,16.0
201,26.7,14.7,1.0,16.0
202,26.7333333,14.7,1.0,16.0
203,26.7666667,14.7,1.0,16.0
204,26.8,14.7,1.0,16.0
205,26.8333333,14.7,1.0,16.0
206,26.8666667,14.7,1.0,16.0
207,26.9,14.7,1.0,16.0
208,26.9333333,14.7,1.0,16.0
209,26.9666667,14.7,1.0,16.0
210,27.0,14.7,1.0,16.0
211,27.0333333,14.7,1.0,16.0
212,27.0666667,14.7,1.0,16.0
213,27.1,14.7,1.0,16.0
214,27.1333333,14.7,1.0,16.0
215,27.1666667,14.7,1.0,16.0
216,27.2,14.7,1.0,16.0
217,27.2333333,14.7,1.0,16.0
218,27.2666667,14.7,1.0,16.0
219,27.3,14.7,1.0,16.0
220,27.3333333,14.7,1.0,16.0
221,27.3666667,14.7,1.0,16.0
222,27.4,14.7,1.0,16.0
223,27.4333333,14.7,1.0,16.0
224,27.4666667,14.7,1.0,16.0
225,27.5,14.7,1.0,16.0
226,27.5333333,14.7,1.0,16.0
227,27.5666667,14.7,1.0,16.0
228,27.6,14.7,1.0,16.0
229,27.6333333,14.7,1.0,16.0
230,27.6666667,14.7,1.0,16.0
231,27.7,14.7,1.0,16.0
232,27.7333333,14.7,1.0,16.0
233,27.7666667,14.7,1.0,16.0
234,27.8,14.7,1.0,16.0
235,27.8333333,14.7,1.0,16.0
