cycle,pangle,af,cmode
207,26.9,14.7,1.0
208,26.9333333,14.7,1.0
209,26.9666667,14.7,1.0
210,27.0,14.7,1.0
211,27.0333333,14.7,1.0
212,27.0666667,14.7,1.0
213,27.1,14.7,1.0
214,27.1333333,14.7,1.0
215,27.1666667,14.7,1.0
216,27.2,14.7,1.0
217,27.2333333,14.7,1.0
218,27.2666667,14.7,1.0
219,27.3,14.7,1.0
220,27.3333333,14.7,1.0
221,27.3666667,14.7,1.0
222,27.4,14.7,1.0
223,27.4333333,14.7,1.0
224,27.4666667,14.7,1.0
225,27.5,14.7,1.0
226,27.5333333,14.7,1.0
227,27.5666667,14.7,1.0
228,27.6,14.7,1.0
229,27.6333333,14.7,1.0
230,27.6666667,14.7,1.0
231,27.7,14.7,1.0
232,27.7333333,14.7,1.0
233,27.7666667,14.7,1.0
234,27.8,14.7,1.0
235,27.8333333,14.7,1.0
236,27.8666667,14.7,1.0
237,27.9,14.7,1.0
238,27.9333333,14.7,1.0
239,27.9666667,14.7,1.0
240,28.0,14.7,1.0
241,28.0333333,14.7,1.0
242,28.0666667,14.7,1.0
243,28.1,14.7,1.0
244,28.1333333,14.7,1.0
245,28.1666667,14.7,1.0
246,28.2,14.7,1.0
247,28.2333333,14.7,1.0
248,28.2666667,14.7,1.0
249,28.3,14.7,1.0
250,28.3333333,14.7,1.0
251,28.3666667,14.7,1.0
252,28.4,14.7,1.0
253,28.4333333,14.7,1.0
254,28.4666667,14.7,1.0
255,28.5,14.7,1.0
256,28.5333333,14.7,1.0
257,28.5666667,14.7,1.0
258,28.6,14.7,1.0
259,28.6333333,14.7,1.0
260,28.6666667,14.7,1.0
261,28.7,14.7,1.0
262,28.7333333,14.7,1.0
263,28.7666667,14.7,1.0
264,28.8,14.7,1.0
265,28.8333333,14.704638,1.0
266,28.8666667,14.7182005,1.0
267,28.9,14.740177,1.0
268,28.9333333,14.7700834,1.0
269,28.9666667,14.8074603,1.0
270,29.0,14.8518722,1.0
271,29.0333333,14.902906,1.0
272,29.0666667,14.9601701,1.0
273,29.1,15.0200144,1.0
274,29.1333333,15.0778795,1.0
275,29.1666667,15.1335511,1.0
276,29.2,15.1871335,1.0
277,29.2333333,15.2387263,1.0
278,29.2666667,15.2884245,1.0
279,29.3,15.336319,1.0
280,29.3333333,15.3824966,1.0
281,29.3666667,15.4270382,1.0
282,29.4,15.4699813,1.0
283,29.4333333,15.511378,1.0
284,29.4666667,15.5513029,1.0
285,29.5,15.5898291,1.0
286,29.5333333,15.6270261,1.0
287,29.5666667,15.6629606,1.0
288,29.6,15.6976959,1.0
289,29.6333333,15.7312929,1.0
290,29.6666667,15.7637992,1.0
291,29.7,15.7952113,1.0
292,29.7333333,15.8255629,1.0
293,29.7666667,15.8549085,1.0
294,29.8,15.8833009,1.0
295,29.8333333,15.9107903,1.0
296,29.8666667,15.9374249,1.0
297,29.9,15.96325,1.0
298,29.9333333,15.9883093,1.0
299,29.9666667,16.0126278,1.0
300,30.0,16.0361742,1.0
301,30.0333333,16.0589712,1.0
302,30.0666667,16.0810593,1.0
303,30.1,16.1024766,1.0
304,30.1333333,16.1232595,1.0
305,30.1666667,16.1434425,1.0
306,30.2,16.1630583,1.0
307,30.2333333,16.182138,1.0
308,30.2666667,16.2007112,1.0
309,30.3,16.2187953,1.0
310,30.3333333,16.2363504,1.0
311,30.3666667,16.2533734,1.0
312,30.4,16.2698926,1.0
313,30.4333333,16.2859366,1.0
314,30.4666667,16.3015325,1.0
315,30.5,16.3167059,1.0
316,30.5333333,16.3314811,1.0
317,30.5666667,16.3458811,1.0
318,30.6,16.3599277,1.0
319,30.6333333,16.3736417,1.0
320,30.6666667,16.3870016,1.0
321,30.7,16.3999645,1.0
322,30.7333333,16.4125496,1.0
323,30.7666667,16.4247794,1.0
324,30.8,16.436675,1.0
325,30.8333333,16.4482565,1.0
326,30.8666667,16.4595429,1.0
327,30.9,16.4705522,1.0
328,30.9333333,16.4813014,1.0
329,30.9666667,16.4918066,1.0
330,31.0,16.5020699,1.0
331,31.0333333,16.5120433,1.0
332,31.0666667,16.5217208,1.0
333,31.1,16.5311198,1.0
334,31.1333333,16.5402579,1.0
335,31.1666667,16.5491515,1.0
336,31.2,16.5578163,1.0
337,31.2333333,16.5662672,1.0
338,31.2666667,16.5745183,1.0
339,31.3,16.5825828,1.0
340,31.3333333,16.5904734,1.0
341,31.3666667,16.5981594,1.0
342,31.4,16.6056067,1.0
343,31.4333333,16.6128277,1.0
344,31.4666667,16.6198376,1.0
345,31.5,16.6266507,1.0
346,31.5333333,16.6332806,1.0
347,31.5666667,16.6397402,1.0
348,31.6,16.6460415,1.0
349,31.6333333,16.6521963,1.0
350,31.6666667,16.6582154,1.0
351,31.7,16.6640954,1.0
352,31.7333333,16.6697904,1.0
353,31.7666667,16.675296,1.0
354,31.8,16.6806254,1.0
355,31.8333333,16.6857915,1.0
356,31.8666667,16.6908067,1.0
357,31.9,16.6956824,1.0
358,31.9333333,16.7004298,1.0
359,31.9666667,16.7050591,1.0
360,32.0,16.7095804,1.0
361,32.0333333,16.7140026,1.0
362,32.0666667,16.7182904,1.0
363,32.1,16.722417,1.0
364,32.1333333,16.7263923,1.0
365,32.1666667,16.7302284,1.0
366,32.2,16.7339366,1.0
367,32.2333333,16.7375278,1.0
368,32.2666667,16.7410121,1.0
369,32.3,16.7443994,1.0
370,32.3333333,16.7476987,1.0
371,32.3666667,16.7509188,1.0
372,32.4,16.7540512,1.0
373,32.4333333,16.7570507,1.0
374,32.4666667,16.7599171,1.0
375,32.5,16.7626618,1.0
376,32.5333333,16.7652957,1.0
377,32.5666667,16.7678291,1.0
378,32.6,16.7702717,1.0
379,32.6333333,16.7726328,1.0
380,32.6666667,16.7749212,1.0
381,32.7,16.7771451,1.0
382,32.7333333,16.7793067,1.0
383,32.7666667,16.7813671,1.0
384,32.8,16.7833099,1.0
385,32.8333333,16.7851445,1.0
386,32.8666667,16.7868814,1.0
387,32.9,16.7885307,1.0
388,32.9333333,16.7901017,1.0
389,32.9666667,16.7916033,1.0
390,33.0,16.7930441,1.0
391,33.0333333,16.794432,1.0
392,33.0666667,16.7957745,1.0
393,33.1,16.7970441,1.0
394,33.1333333,16.7982085,1.0
395,33.1666667,16.7992757,1.0
396,33.2,16.8002558,1.0
397,33.2333333,16.8011586,1.0
398,33.2666667,16.8019932,1.0
399,33.3,16.8027683,1.0
400,33.3333333,16.8034922,1.0
401,33.3666667,16.8041727,1.0
402,33.4,16.804817,1.0
403,33.4333333,16.8054123,1.0
404,33.4666667,16.8059157,1.0
405,33.5,16.806331,1.0
406,33.5333333,16.8066682,1.0
407,33.5666667,16.8069367,1.0
408,33.6,16.8071454,1.0
409,33.6333333,16.807303,1.0
410,33.6666667,16.8074173,1.0
411,33.7,16.8074961,1.0
412,33.7333333,16.8075463,1.0
413,33.7666667,16.8074997,1.0
414,33.8,16.8070639,1.0
415,33.8333333,16.806184,1.0
416,33.8666667,16.8048953,1.0
417,33.9,16.8032322,1.0
418,33.9333333,16.8012268,1.0
419,33.9666667,16.7989097,1.0
420,34.0,16.7963093,1.0
421,34.0333333,16.793453,1.0
422,34.0666667,16.7903458,1.0
423,34.1,16.7869483,1.0
424,34.1333333,16.7832782,1.0
425,34.1666667,16.7793624,1.0
426,34.2,16.7752261,1.0
427,34.2333333,16.7708932,1.0
428,34.2666667,16.7663864,1.0
429,34.3,16.761727,1.0
430,34.3333333,16.7569354,1.0
431,34.3666667,16.7520077,1.0
432,34.4,16.7469109,1.0
433,34.4333333,16.7416628,1.0
434,34.4666667,16.7362834,1.0
435,34.5,16.7307919,1.0
436,34.5333333,16.7252064,1.0
437,34.5666667,16.7195438,1.0
438,34.6,16.7138205,1.0
439,34.6333333,16.7080514,1.0
440,34.6666667,16.7022254,1.0
441,34.7,16.6963086,1.0
442,34.7333333,16.6903145,1.0
443,34.7666667,16.6842592,1.0
444,34.8,16.6781578,1.0
445,34.8333333,16.6720246,1.0
446,34.8666667,16.6658732,1.0
447,34.9,16.6597163,1.0
448,34.9333333,16.6535657,1.0
449,34.9666667,16.6474077,1.0
450,35.0,16.6412058,1.0
451,35.0333333,16.6349707,1.0
452,35.0666667,16.628715,1.0
453,35.1,16.62245,1.0
454,35.1333333,16.6161867,1.0
455,35.1666667,16.6099352,1.0
456,35.2,16.6037054,1.0
457,35.2333333,16.5975062,1.0
458,35.2666667,16.5913462,1.0
459,35.3,16.5852173,1.0
460,35.3333333,16.5790784,1.0
461,35.3666667,16.5729302,1.0
462,35.4,16.5667834,1.0
463,35.4333333,16.560648,1.0
464,35.4666667,16.5545335,1.0
465,35.5,16.5484489,1.0
466,35.5333333,16.5424025,1.0
467,35.5666667,16.5364024,1.0
468,35.6,16.5304559,1.0
469,35.6333333,16.5245677,1.0
470,35.6666667,16.5187034,1.0
471,35.7,16.5128421,1.0
472,35.7333333,16.5069916,1.0
473,35.7666667,16.5011611,1.0
474,35.8,16.4953594,1.0
475,35.8333333,16.4895947,1.0
476,35.8666667,16.4838748,1.0
477,35.9,16.4782069,1.0
478,35.9333333,16.4725979,1.0
479,35.9666667,16.4670542,1.0
480,36.0,16.4615663,1.0
481,36.0333333,16.4560924,1.0
482,36.0666667,16.4506312,1.0
483,36.1,16.4451916,1.0
484,36.1333333,16.4397818,1.0
485,36.1666667,16.4344098,1.0
486,36.2,16.429083,1.0
487,36.2333333,16.4238083,1.0
488,36.2666667,16.4185923,1.0
489,36.3,16.4134411,1.0
490,36.3333333,16.408358,1.0
491,36.3666667,16.4033084,1.0
492,36.4,16.398271,1.0
493,36.4333333,16.3932527,1.0
494,36.4666667,16.3882617,1.0
495,36.5,16.3833056,1.0
496,36.5333333,16.3783917,1.0
497,36.5666667,16.3735268,1.0
498,36.6,16.3687174,1.0
499,36.6333333,16.3639695,1.0
500,36.6666667,16.3592887,1.0
501,20.0,16.3546646,1.0
502,20.0333333,16.3500558,1.0
503,20.0666667,16.3454612,1.0
504,20.1,16.3408889,1.0
505,20.1333333,16.3363468,1.0
506,20.1666667,16.3318419,1.0
507,20.2,16.3273813,1.0
508,20.2333333,16.3229712,1.0
509,20.2666667,16.3186176,1.0
510,20.3,16.3143263,1.0
511,20.3333333,16.3100994,1.0
512,20.3666667,16.3059021,1.0
513,20.4,16.3017149,1.0
514,20.4333333,16.2975441,1.0
515,20.4666667,16.2933976,1.0
516,20.5,16.2892827,1.0
517,20.5333333,16.2852062,1.0
518,20.5666667,16.2811747,1.0
519,20.6,16.2771942,1.0
520,20.6333333,16.2732704,1.0
521,20.6666667,16.2694088,1.0
522,20.7,16.2655964,1.0
523,20.7333333,16.2617928,1.0
524,20.7666667,16.2579995,1.0
525,20.8,16.2542245,1.0
526,20.8333333,16.2504751,1.0
527,20.8666667,16.2467584,1.0
528,20.9,16.243081,1.0
529,20.9333333,16.239449,1.0
530,20.9666667,16.2358683,1.0
531,21.0,16.2323444,1.0
532,21.0333333,16.2288752,1.0
533,21.0666667,16.2254241,1.0
534,21.1,16.2219785,1.0
535,21.1333333,16.2185455,1.0
536,21.1666667,16.2151327,1.0
537,21.2,16.2117472,1.0
538,21.2333333,16.2083956,1.0
539,21.2666667,16.2050842,1.0
540,21.3,16.2018191,1.0
541,21.3333333,16.1986057,1.0
542,21.3666667,16.1954493,1.0
543,21.4,16.1923191,1.0
544,21.4333333,16.1891907,1.0
545,21.4666667,16.1860697,1.0
546,21.5,16.182964,1.0
547,21.5333333,16.1798807,1.0
548,21.5666667,16.1768266,1.0
549,21.6,16.173808,1.0
550,21.6333333,16.1708311,1.0
551,21.6666667,16.1679013,1.0
552,21.7,16.1650241,1.0
553,21.7333333,16.1621844,1.0
554,21.7666667,16.1593432,1.0
555,21.8,16.1565052,1.0
556,21.8333333,16.1536781,1.0
557,21.8666667,16.150869,1.0
558,21.9,16.1480849,1.0
559,21.9333333,16.1453321,1.0
560,21.9666667,16.1426168,1.0
561,22.0,16.139945,1.0
562,22.0333333,16.1373223,1.0
563,22.0666667,16.1346658,1.0
564,22.1,16.1316768,1.0
565,22.1333333,16.1283138,1.0
566,22.1666667,16.1246111,1.0
567,22.2,16.1206007,1.0
568,22.2333333,16.1163132,1.0
569,22.2666667,16.1117773,1.0
570,22.3,16.1070202,1.0
571,22.3333333,16.1020675,1.0
572,22.3666667,16.0969229,1.0
573,22.4,16.0915523,1.0
574,22.4333333,16.0859756,1.0
575,22.4666667,16.0802178,1.0
576,22.5,16.0743024,1.0
577,22.5333333,16.0682517,1.0
578,22.5666667,16.0620867,1.0
579,22.6,16.0558275,1.0
580,22.6333333,16.0494926,1.0
581,22.6666667,16.0430774,1.0
582,22.7,16.0365544,1.0
583,22.7333333,16.02994,1.0
584,22.7666667,16.0232526,1.0
585,22.8,16.0165098,1.0
586,22.8333333,16.0097281,1.0
587,22.8666667,16.002923,1.0
588,22.9,15.9961092,1.0
589,22.9333333,15.9893004,1.0
590,22.9666667,15.9824839,1.0
591,23.0,15.9756314,1.0
592,23.0333333,15.9687554,1.0
593,23.0666667,15.9618703,1.0
594,23.1,15.9549897,1.0
595,23.1333333,15.9481265,1.0
596,23.1666667,15.9412928,1.0
597,23.2,15.9344999,1.0
598,23.2333333,15.9277584,1.0
599,23.2666667,15.9210528,1.0
600,23.3,15.9143525,1.0
601,23.3333333,15.9076667,1.0
602,23.3666667,15.9010064,1.0
603,23.4,15.8943814,1.0
604,23.4333333,15.8878012,1.0
605,23.4666667,15.8812745,1.0
606,23.5,15.8748096,1.0
607,23.5333333,15.8684142,1.0
608,23.5666667,15.8620957,1.0
609,23.6,15.8558449,1.0
610,23.6333333,15.8496238,1.0
611,23.6666667,15.8434336,1.0
612,23.7,15.8372835,1.0
613,23.7333333,15.8311823,1.0
614,23.7666667,15.825138,1.0
615,23.8,15.8191585,1.0
616,23.8333333,15.8132509,1.0
617,23.8666667,15.807422,1.0
618,23.9,15.801678,1.0
619,23.9333333,15.7960223,1.0
620,23.9666667,15.7904222,1.0
621,24.0,15.7848591,1.0
622,24.0333333,15.7793396,1.0
623,24.0666667,15.773872,1.0
624,24.1,15.7684637,1.0
625,24.1333333,15.7631218,1.0
626,24.1666667,15.7578531,1.0
627,24.2,15.7526637,1.0
628,24.2333333,15.7475595,1.0
629,24.2666667,15.7425461,1.0
630,24.3,15.7376135,1.0
631,24.3333333,15.7327227,1.0
632,24.3666667,15.7278729,1.0
633,24.4,15.7230716,1.0
634,24.4333333,15.7183263,1.0
635,24.4666667,15.7136437,1.0
636,24.5,15.7090304,1.0
637,24.5333333,15.7044923,1.0
638,24.5666667,15.700035,1.0
639,24.6,15.695664,1.0
640,24.6333333,15.6913815,1.0
641,24.6666667,15.6871548,1.0
642,24.7,15.6829644,1.0
643,24.7333333,15.6788163,1.0
