cycle,pangle,af,cmode
0,20.0,14.7,0.0
1,20.0333333,14.7,0.0
2,20.0666667,14.7,0.0
3,20.1,14.7,0.0
4,20.1333333,14.7,0.0
5,20.1666667,14.7,0.0
6,20.2,14.7,0.0
7,20.2333333,14.7,0.0
8,20.2666667,14.7,0.0
9,20.3,14.7,0.0
10,20.3333333,14.7,1.0
11,20.3666667,14.7,1.0
12,20.4,14.7,1.0
13,20.4333333,14.7,1.0
14,20.4666667,14.7,1.0
15,20.5,14.7,1.0
16,20.5333333,14.7,1.0
17,20.5666667,14.7,1.0
18,20.6,14.7,1.0
19,20.6333333,14.7,1.0
20,20.6666667,14.7,1.0
21,20.7,14.7,1.0
22,20.7333333,14.7,1.0
23,20.7666667,14.7,1.0
24,20.8,14.7,1.0
25,20.8333333,14.7,1.0
26,20.8666667,14.7,1.0
27,20.9,14.7,1.0
28,20.9333333,14.7,1.0
29,20.9666667,14.7,1.0
30,21.0,14.7,1.0
31,21.0333333,14.7,1.0
32,21.0666667,14.7,1.0
33,21.1,14.7,1.0
34,21.1333333,14.7,1.0
35,21.1666667,14.7,1.0
36,21.2,14.7,1.0
37,21.2333333,14.7,1.0
38,21.2666667,14.7,1.0
39,21.3,14.7,1.0
40,21.3333333,14.7,1.0
41,21.3666667,14.7,1.0
42,21.4,14.7,1.0
43,21.4333333,14.7,1.0
44,21.4666667,14.7,1.0
45,21.5,14.7,1.0
46,21.5333333,14.7,1.0
47,21.5666667,14.7,1.0
48,21.6,14.7,1.0
49,21.6333333,14.7,1.0
50,21.6666667,14.7,1.0
51,21.7333333,14.7,1.0
52,21.8,14.7,1.0
53,21.8666667,14.7,1.0
54,21.9333333,14.7,1.0
55,22.0,14.7,1.0
56,22.0666667,14.7,1.0
57,22.1333333,14.7,1.0
58,22.2,14.7,1.0
59,22.2666667,14.7,1.0
60,22.3333333,14.7,1.0
61,22.4,14.7,1.0
62,22.4666667,14.7,1.0
63,22.5333333,14.7,1.0
64,22.6,14.7,1.0
65,22.6666667,14.7,1.0
66,22.7333333,14.7,1.0
67,22.8,14.7,1.0
68,22.8666667,14.7,1.0
69,22.9333333,14.7,1.0
70,23.0,14.7,1.0
71,23.0666667,14.7,1.0
72,23.1333333,14.7,1.0
73,23.2,14.7,1.0
74,23.2666667,14.7,1.0
75,23.3333333,14.7,1.0
76,23.4,14.7,1.0
77,23.4666667,14.7,1.0
78,23.5333333,14.7,1.0
79,23.6,14.7,1.0
80,23.6666667,14.7,1.0
81,23.7333333,14.7,1.0
82,23.8,14.7,1.0
83,23.8666667,14.7,1.0
84,23.9333333,14.7,1.0
85,24.0,14.7,1.0
86,24.0666667,14.7,1.0
87,24.1333333,14.7,1.0
88,24.2,14.7,1.0
89,24.2666667,14.7,1.0
90,24.3333333,14.7,1.0
91,24.4,14.7,1.0
92,24.4666667,14.7,1.0
93,24.5333333,14.7,1.0
94,24.6,14.7,1.0
95,24.6666667,14.7,1.0
96,24.7333333,14.7,1.0
97,24.8,14.7,1.0
98,24.8666667,14.7,1.0
99,24.9333333,14.7,1.0
100,25.0,14.7,1.0
101,25.0666667,14.7,1.0
102,25.1333333,14.7,1.0
103,25.2,14.7,1.0
104,25.2666667,14.7,1.0
105,25.3333333,14.7,1.0
106,25.4,14.7,1.0
107,25.4666667,14.7,1.0
108,25.5333333,14.7,1.0
109,25.6,14.7,1.0
110,25.6666667,14.7,1.0
111,25.7333333,14.7,1.0
112,25.8,14.7,1.0
113,25.8666667,14.7,1.0
114,25.9333333,14.7,1.0
115,26.0,14.7,1.0
116,26.0666667,14.7,1.0
117,26.1333333,14.7,1.0
118,26.2,14.7,1.0
119,26.2666667,14.7,1.0
120,26.3333333,14.7,1.0
121,26.4,14.7,1.0
122,26.4666667,14.7,1.0
123,26.5333333,14.7,1.0
124,26.6,14.7,1.0
125,26.6666667,14.7,1.0
126,26.7333333,14.7,1.0
127,26.8,14.7,1.0
128,26.8666667,14.7,1.0
129,26.9333333,14.7,1.0
130,27.0,14.7,1.0
131,27.0666667,14.7,1.0
132,27.1333333,14.7,1.0
133,27.2,14.7,1.0
134,27.2666667,14.7,1.0
135,27.3333333,14.7,1.0
136,27.4,14.7,1.0
137,27.4666667,14.7,1.0
138,27.5333333,14.7,1.0
139,27.6,14.7,1.0
140,27.6666667,14.7,1.0
141,27.7333333,14.7,1.0
142,27.8,14.7,1.0
143,27.8666667,14.7,1.0
144,27.9333333,14.7,1.0
145,28.0,14.7,1.0
146,28.0666667,14.7,1.0
147,28.1333333,14.7,1.0
148,28.2,14.7,1.0
149,28.2666667,14.7,1.0
150,28.3333333,14.7,1.0
151,28.4,14.7,1.0
152,28.4666667,14.7,1.0
153,28.5333333,14.7,1.0
154,28.6,14.7,1.0
155,28.6666667,14.7,1.0
156,28.7333333,14.7,1.0
157,28.8,14.7,1.0
158,28.8666667,14.7,1.0
159,28.9333333,14.7,1.0
160,29.0,14.7,1.0
161,29.0666667,14.7,1.0
162,29.1333333,14.7,1.0
163,29.2,14.7,1.0
164,29.2666667,14.7,1.0
165,29.3333333,14.7,1.0
166,29.4,14.7,1.0
167,29.4666667,14.7,1.0
168,29.5333333,14.7,1.0
169,29.6,14.7,1.0
170,29.6666667,14.7,1.0
171,29.7333333,14.7,1.0
172,29.8,14.7,1.0
173,29.8666667,14.7,1.0
174,29.9333333,14.7,1.0
175,30.0,14.7,1.0
176,30.0666667,14.7,1.0
177,30.1333333,14.7,1.0
178,30.2,14.7,1.0
179,30.2666667,14.7,1.0
180,30.3333333,14.7,1.0
181,30.4,14.7,1.0
182,30.4666667,14.7,1.0
183,30.5333333,14.7,1.0
184,30.6,14.7,1.0
185,30.6666667,14.7,1.0
186,30.7333333,14.7,1.0
187,30.8,14.7,1.0
188,30.8666667,14.7,1.0
189,30.9333333,14.7,1.0
190,31.0,14.7,1.0
191,31.0666667,14.7,1.0
192,31.1333333,14.7,1.0
193,31.2,14.7,1.0
194,31.2666667,14.7,1.0
195,31.3333333,14.7,1.0
196,31.4,14.7,1.0
197,31.4666667,14.7,1.0
198,31.5333333,14.7,1.0
199,31.6,14.7,1.0
200,31.6666667,14.7,1.0
201,31.7333333,14.7,1.0
202,31.8,14.7,1.0
203,31.8666667,14.7,1.0
204,31.9333333,14.7,1.0
205,32.0,14.7,1.0
206,32.0666667,14.7,1.0
207,32.1333333,14.7,1.0
208,32.2,14.7,1.0
209,32.2666667,14.7,1.0
210,32.3333333,14.7,1.0
211,32.4,14.7,1.0
212,32.4666667,14.7,1.0
213,32.5333333,14.7,1.0
214,32.6,14.7,1.0
215,32.6666667,14.7,1.0
216,32.7333333,14.7,1.0
217,32.8,14.7,1.0
218,32.8666667,14.7,1.0
219,32.9333333,14.7,1.0
220,33.0,14.7,1.0
221,33.0666667,14.7,1.0
222,33.1333333,14.7,1.0
223,33.2,14.7,1.0
224,33.2666667,14.7,1.0
225,33.3333333,14.7,1.0
226,33.4,14.7,1.0
227,33.4666667,14.7,1.0
228,33.5333333,14.7,1.0
229,33.6,14.7,1.0
230,33.6666667,14.7,1.0
231,33.7333333,14.7,1.0
232,33.8,14.7,1.0
233,33.8666667,14.7,1.0
234,33.9333333,14.7,1.0
235,34.0,14.7,1.0
236,34.0666667,14.7,1.0
237,34.1333333,14.7,1.0
238,34.2,14.7,1.0
239,34.2666667,14.7,1.0
240,34.3333333,14.7,1.0
241,34.4,14.7,1.0
242,34.4666667,14.7,1.0
243,34.5333333,14.7,1.0
244,34.6,14.7,1.0
245,34.6666667,14.7,1.0
246,34.7333333,14.7,1.0
247,34.8,14.7,1.0
248,34.8666667,14.7,1.0
249,34.9333333,14.7,1.0
250,35.0,14.7,1.0
251,35.0666667,14.7,1.0
252,35.1333333,14.7,1.0
253,35.2,14.7,1.0
254,35.2666667,14.7,1.0
255,35.3333333,14.7,1.0
256,35.4,14.7,1.0
257,35.4666667,14.7,1.0
258,35.5333333,14.7,1.0
259,35.6,14.7,1.0
260,35.6666667,14.7,1.0
261,35.7333333,14.7,1.0
262,35.8,14.7,1.0
263,35.8666667,14.7,1.0
264,35.9333333,14.7,1.0
265,36.0,14.7046382,1.0
266,36.0666667,14.7182013,1.0
267,36.1333333,14.740179,1.0
268,36.2,14.7700869,1.0
269,36.2666667,14.8074658,1.0
270,36.3333333,14.85188,1.0
271,36.4,14.9029166,1.0
272,36.4666667,14.9601838,1.0
273,36.5333333,15.0197695,1.0
274,36.6,15.0773772,1.0
275,36.6666667,15.1328068,1.0
276,36.7333333,15.1861618,1.0
277,36.8,15.237541,1.0
278,36.8666667,15.2870387,1.0
279,36.9333333,15.3347452,1.0
280,37.0,15.3807468,1.0
281,37.0666667,15.4251227,1.0
282,37.1333333,15.4679093,1.0
283,37.2,15.5091596,1.0
284,37.2666667,15.5489481,1.0
285,37.3333333,15.587347,1.0
286,37.4,15.6244257,1.0
287,37.4666667,15.6602502,1.0
288,37.5333333,15.6948836,1.0
289,37.6,15.728386,1.0
290,37.6666667,15.7608039,1.0
291,37.7333333,15.7921324,1.0
292,37.8,15.8224067,1.0
293,37.8666667,15.8516813,1.0
294,37.9333333,15.8800088,1.0
295,38.0,15.907439,1.0
296,38.0666667,15.9340196,1.0
297,38.1333333,15.9597959,1.0
298,38.2,15.9848112,1.0
299,38.2666667,16.0090889,1.0
300,38.3333333,16.032597,1.0
301,38.4,16.05536,1.0
302,38.4666667,16.0774182,1.0
303,38.5333333,16.0988094,1.0
304,38.6,16.1195699,1.0
305,38.6666667,16.1397337,1.0
306,38.7333333,16.1593337,1.0
307,38.8,16.1784006,1.0
308,38.8666667,16.1969638,1.0
309,38.9333333,16.2150391,1.0
310,39.0,16.2325854,1.0
311,39.0666667,16.249602,1.0
312,39.1333333,16.2661173,1.0
313,39.2,16.2821598,1.0
314,39.2666667,16.2977564,1.0
315,39.3333333,16.3129325,1.0
316,39.4,16.3277124,1.0
317,39.4666667,16.3421191,1.0
318,39.5333333,16.3561741,1.0
319,39.6,16.3698981,1.0
320,39.6666667,16.3832653,1.0
321,39.7333333,16.396237,1.0
322,39.8,16.4088326,1.0
323,39.8666667,16.4210745,1.0
324,39.9333333,16.4329836,1.0
325,40.0,16.44458,1.0
326,40.0666667,16.4558826,1.0
327,40.1333333,16.4669093,1.0
328,40.2,16.4776772,1.0
329,40.2666667,16.4882022,1.0
330,40.3333333,16.4984849,1.0
331,40.4,16.5084762,1.0
332,40.4666667,16.5181724,1.0
333,40.5333333,16.5275913,1.0
334,40.6,16.5367502,1.0
335,40.6666667,16.5456656,1.0
336,40.7333333,16.5543532,1.0
337,40.8,16.5628278,1.0
338,40.8666667,16.5711034,1.0
339,40.9333333,16.5791933,1.0
340,41.0,16.58711,1.0
341,41.0666667,16.594819,1.0
342,41.1333333,16.6022898,1.0
343,41.2,16.6095351,1.0
344,41.2666667,16.61657,1.0
345,41.3333333,16.6234087,1.0
346,41.4,16.6300648,1.0
347,41.4666667,16.6365511,1.0
348,41.5333333,16.6428799,1.0
349,41.6,16.6490626,1.0
350,41.6666667,16.6551102,1.0
351,41.7333333,16.6610177,1.0
352,41.8,16.6667381,1.0
353,41.8666667,16.6722693,1.0
354,41.9333333,16.6776248,1.0
355,42.0,16.6828175,1.0
356,42.0666667,16.6878597,1.0
357,42.1333333,16.6927629,1.0
358,42.2,16.697538,1.0
359,42.2666667,16.7021956,1.0
360,42.3333333,16.7067454,1.0
361,42.4,16.7111953,1.0
362,42.4666667,16.7155079,1.0
363,42.5333333,16.7196596,1.0
364,42.6,16.7236603,1.0
365,42.6666667,16.7275221,1.0
366,42.7333333,16.7312564,1.0
367,42.8,16.7348739,1.0
368,42.8666667,16.7383849,1.0
369,42.9333333,16.7417991,1.0
370,43.0,16.7451257,1.0
371,43.0666667,16.7483733,1.0
372,43.1333333,16.7515316,1.0
373,43.2,16.7545555,1.0
374,43.2666667,16.7574466,1.0
375,43.3333333,16.7602161,1.0
376,43.4,16.7628751,1.0
377,43.4666667,16.7654338,1.0
378,43.5333333,16.767902,1.0
379,43.6,16.7702888,1.0
380,43.6666667,16.772603,1.0
381,43.7333333,16.774853,1.0
382,43.8,16.7770397,1.0
383,43.8666667,16.7791234,1.0
384,43.9333333,16.7810894,1.0
385,44.0,16.7829473,1.0
386,44.0666667,16.7847079,1.0
387,44.1333333,16.7863808,1.0
388,44.2,16.7879756,1.0
389,44.2666667,16.7895012,1.0
390,44.3333333,16.7909661,1.0
391,44.4,16.7923781,1.0
392,44.4666667,16.793745,1.0
393,44.5333333,16.7950361,1.0
394,44.6,16.796222,1.0
395,44.6666667,16.7973107,1.0
396,44.7333333,16.7983125,1.0
397,44.8,16.7992371,1.0
398,44.8666667,16.8000937,1.0
399,44.9333333,16.8008908,1.0
400,45.0,16.8016368,1.0
401,45.0666667,16.8023394,1.0
402,45.1333333,16.803006,1.0
403,45.2,16.8036222,1.0
404,45.2666667,16.8041452,1.0
405,45.3333333,16.8045801,1.0
406,45.4,16.804937,1.0
407,45.4666667,16.8052253,1.0
408,45.5333333,16.805454,1.0
409,45.6,16.8056315,1.0
410,45.6666667,16.8057659,1.0
411,45.7333333,16.8058648,1.0
412,45.8,16.8059352,1.0
413,45.8666667,16.8059025,1.0
414,45.9333333,16.8054713,1.0
415,46.0,16.8045959,1.0
416,46.0666667,16.8033126,1.0
417,46.1333333,16.8016555,1.0
418,46.2,16.7996567,1.0
419,46.2666667,16.7973465,1.0
