cycle,pangle,af,cmode
0,20.0,14.7,0.0,8.8
1,20.0333333,14.7,0.0,8.8
2,20.0666667,14.7,0.0,8.8
3,20.1,14.7,0.0,8.8
4,20.1333333,14.7,0.0,8.8
5,20.1666667,14.7,0.0,8.8
6,20.2,14.7,0.0,8.8
7,20.2333333,14.7,0.0,8.8
8,20.2666667,14.7,0.0,8.8
9,20.3,14.7,0.0,8.8
10,20.3333333,14.7,1.0,8.8
11,20.3666667,14.7,1.0,8.8
12,20.4,14.7,1.0,8.8
13,20.4333333,14.7,1.0,8.8
14,20.4666667,14.7,1.0,8.8
15,20.5,14.7,1.0,8.8
16,20.5333333,14.7,1.0,8.8
17,20.5666667,14.7,1.0,8.8
18,20.6,14.7,1.0,8.8
19,20.6333333,14.7,1.0,8.8
20,20.6666667,14.7,1.0,8.8
21,20.7,14.7,1.0,8.8
22,20.7333333,14.7,1.0,8.8
23,20.7666667,14.7,1.0,8.8
24,20.8,14.7,1.0,8.8
25,20.8333333,14.7,1.0,8.8
26,20.8666667,14.7,1.0,8.8
27,20.9,14.7,1.0,8.8
28,20.9333333,14.7,1.0,8.8
29,20.9666667,14.7,1.0,8.8
30,21.0,14.7,1.0,8.8
31,21.0333333,14.7,1.0,8.8
32,21.0666667,14.7,1.0,8.8
33,21.1,14.7,1.0,8.8
34,21.1333333,14.7,1.0,8.8
35,21.1666667,14.7,1.0,8.8
36,21.2,14.7,1.0,8.8
37,21.2333333,14.7,1.0,8.8
38,21.2666667,14.7,1.0,8.8
39,21.3,14.7,1.0,8.8
40,21.3333333,14.7,1.0,8.8
41,21.3666667,14.7,1.0,8.8
42,21.4,14.7,1.0,8.8
43,21.4333333,14.7,1.0,8.8
44,21.4666667,14.7,1.0,8.8
45,21.5,14.7,1.0,8.8
46,21.5333333,14.7,1.0,8.8
47,21.5666667,14.7,1.0,8.8
48,21.6,14.7,1.0,8.8
49,21.6333333,14.7,1.0,8.8
50,21.6666667,14.7,1.0,8.8
51,21.7,14.7,1.0,8.8
52,21.7333333,14.7,1.0,8.8
53,21.7666667,14.7,1.0,8.8
54,21.8,14.7,1.0,8.8
55,21.8333333,14.7,1.0,8.8
56,21.8666667,14.7,1.0,8.8
57,21.9,14.7,1.0,8.8
58,21.9333333,14.7,1.0,8.8
59,21.9666667,14.7,1.0,8.8
60,22.0,14.7,1.0,8.8
61,22.0333333,14.7,1.0,8.8
62,22.0666667,14.7,1.0,8.8
63,22.1,14.7,1.0,8.8
64,22.1333333,14.7,1.0,8.8
65,22.1666667,14.7,1.0,8.8
66,22.2,14.7,1.0,8.8
67,22.2333333,14.7,1.0,8.8
68,22.2666667,14.7,1.0,8.8
69,22.3,14.7,1.0,8.8
70,22.3333333,14.7,1.0,8.8
71,22.3666667,14.7,1.0,8.8
72,22.4,14.7,1.0,8.8
73,22.4333333,14.7,1.0,8.8
74,22.4666667,14.7,1.0,8.8
75,22.5,14.7,1.0,8.8
76,22.5333333,14.7,1.0,8.8
77,22.5666667,14.7,1.0,8.8
78,22.6,14.7,1.0,8.8
79,22.6333333,14.7,1.0,8.8
80,22.6666667,14.7,1.0,8.8
81,22.7,14.7,1.0,8.8
82,22.7333333,14.7,1.0,8.8
83,22.7666667,14.7,1.0,8.8
84,22.8,14.7,1.0,8.8
85,22.8333333,14.7,1.0,8.8
86,22.8666667,14.7,1.0,8.8
87,22.9,14.7,1.0,8.8
88,22.9333333,14.7,1.0,8.8
89,22.9666667,14.7,1.0,8.8
90,23.0,14.7,1.0,8.8
91,23.0333333,14.7,1.0,8.8
92,23.0666667,14.7,1.0,8.8
93,23.1,14.7,1.0,8.8
94,23.1333333,14.7,1.0,8.8
95,23.1666667,14.7,1.0,8.8
96,23.2,14.7,1.0,8.8
97,23.2333333,14.7,1.0,8.8
98,23.2666667,14.7,1.0,8.8
99,23.3,14.7,1.0,8.8
100,23.3333333,14.7,1.0,8.8
101,23.3666667,14.7,1.0,8.8
102,23.4,14.7,1.0,8.8
103,23.4333333,14.7,1.0,8.8
104,23.4666667,14.7,1.0,8.8
105,23.5,14.7,1.0,8.8
106,23.5333333,14.7,1.0,8.8
107,23.5666667,14.7,1.0,8.8
108,23.6,14.7,1.0,8.8
109,23.6333333,14.7,1.0,8.8
110,23.6666667,14.7,1.0,8.8
111,23.7,14.7,1.0,8.8
112,23.7333333,14.7,1.0,8.8
113,23.7666667,14.7,1.0,8.8
114,23.8,14.7,1.0,8.8
115,23.8333333,14.7,1.0,8.8
116,23.8666667,14.7,1.0,8.8
117,23.9,14.7,1.0,8.8
118,23.9333333,14.7,1.0,8.8
119,23.9666667,14.7,1.0,8.8
120,24.0,14.7,1.0,8.8
121,24.0333333,14.7,1.0,8.8
122,24.0666667,14.7,1.0,8.8
123,24.1,14.7,1.0,8.8
124,24.1333333,14.7,1.0,8.8
125,24.1666667,14.7,1.0,8.8
126,24.2,14.7,1.0,8.8
127,24.2333333,14.7,1.0,8.8
128,24.2666667,14.7,1.0,8.8
